Employee ID,Name,Department,Salary
10001,Georgi Facello,Development,88958
10002,Bezalel Simmel,Sales,72527
10003,Parto Bamford,Production,43311
10004,Chirstian Koblick,Production,74057
10005,Kyoichi Maliniak,Human Resources,94692
10006,Anneke Preusig,Development,59755
10007,Tzvetan Zielinski,Research,88070
10009,Sumant Peac,Quality Management,94409
10010,Duangkaew Piveteau,Quality Management,80324
10010,Duangkaew Piveteau,Production,80324
10012,Patricio Bridgland,Development,54423
10013,Eberhardt Terkki,Human Resources,68901
10014,Berni Genin,Development,60598
10016,Kazuhito Cappelletti,Sales,77935
10017,Cristinel Bouloucos,Marketing,99651
10018,Kazuhide Peha,Development,84672
10018,Kazuhide Peha,Production,84672
10019,Lillian Haddadi,Research,50032
10020,Mayuko Warwick,Production,47017
10022,Shahaf Famili,Development,41348
10023,Bojan Montemayor,Development,50113
10024,Suzette Pettey,Production,96646
10026,Yongqiao Berztiss,Production,66313
10027,Divier Reistad,Development,46145
10029,Otmar Herbst,Quality Management,77777
10029,Otmar Herbst,Production,77777
10030,Elvis Demeyer,Production,88806
10031,Karsten Joslin,Development,56689
10032,Jeong Reistad,Production,69539
10035,Alain Chappelet,Production,68755
10036,Adamantios Portugali,Human Resources,63053
10037,Pradeep Makrucki,Development,60574
10038,Huan Lortz,Customer Service,64254
10039,Alejandro Brender,Human Resources,63918
10040,Weiyi Meriste,Development,72668
10040,Weiyi Meriste,Research,72668
10041,Uri Lenart,Sales,81705
10043,Yishay Tzvieli,Development,77659
10044,Mingsen Casley,Production,58345
10045,Moss Shanbhogue,Production,47581
10046,Lucien Rosenbaum,Research,62218
10047,Zvonko Nyanchama,Production,81037
10049,Basil Tramer,Customer Service,51326
10050,Yinghua Dredge,Sales,97830
10050,Yinghua Dredge,Finance,97830
10051,Hidefumi Caine,Production,64905
10052,Heping Nitsch,Research,67156
10053,Sanjiv Zschoche,Sales,78478
10054,Mayumi Schueller,Human Resources,53906
10056,Brendon Bernini,Development,74722
10057,Ebbe Callaway,Development,68061
10058,Berhard McFarlin,Marketing,72542
10059,Alejandro McAlpine,Finance,94161
10060,Breannda Billingsley,Sales,93188
10060,Breannda Billingsley,Customer Service,93188
10061,Tse Herber,Sales,97338
10062,Anoosh Peyn,Development,68559
10063,Gino Leonhardt,Production,74841
10065,Satosi Awdeh,Development,47437
10066,Kwee Schusler,Development,103672
10067,Claudi Stavenow,Quality Management,83254
10068,Charlene Brattka,Sales,113229
10069,Margareta Bierman,Production,86641
10070,Reuven Garigliano,Research,96322
10070,Reuven Garigliano,Development,96322
10071,Hisao Lipner,Human Resources,53315
10072,Hironoby Sidou,Development,64512
10074,Mokhtar Bernatsky,Development,80820
10076,Erez Ritzmann,Development,62921
10077,Mona Azuma,Human Resources,54699
10078,Danel Mondadori,Development,54652
10079,Kshitij Gils,Development,67231
10080,Premal Baek,Human Resources,72729
10080,Premal Baek,Finance,72729
10081,Zhongwei Rosen,Production,79351
10083,Vishv Zockler,Production,77186
10084,Tuval Kalloufi,Production,93621
10085,Kenroku Malabarba,Production,60910
10086,Somnath Foote,Human Resources,96333
10088,Jungsoon Syrzycki,Sales,98003
10088,Jungsoon Syrzycki,Customer Service,98003
10089,Sudharsan Flasterstein,Sales,77955
10091,Amabile Gomatam,Development,60014
10092,Valdiodio Niizuma,Development,66803
10093,Sailaja Desikan,Sales,82715
10095,Hilari Morton,Sales,80955
10096,Jayson Mandell,Production,68612
10097,Remzi Waschkowski,Research,70161
10099,Valter Sullins,Sales,98538
10100,Hironobu Haraldson,Human Resources,74957
10102,Paraskevi Luby,Production,61059
10103,Akemi Birch,Development,80061
10104,Xinyu Warwick,Research,81788
10106,Eben Aingworth,Production,82836
10107,Dung Baca,Sales,101676
10109,Mariusz Prampolini,Production,52721
10110,Xuejia Ullian,Human Resources,92842
10111,Hugo Rosis,Quality Management,56641
10112,Yuichiro Swick,Customer Service,61070
10113,Jaewon Syrzycki,Production,75209
10114,Munir Demeyer,Research,64083
10117,Kiyotoshi Blokdijk,Production,75936
10118,Zhonghui Zyda,Development,55284
10120,Armond Fairtlough,Production,59279
10121,Guoxiang Ramsay,Development,66834
10122,Ohad Esposito,Development,48464
10123,Hinrich Randi,Production,92601
10124,Geraldo Marwedel,Production,58460
10124,Geraldo Marwedel,Quality Management,58460
10126,Kayoko Valtorta,Customer Service,77310
10127,Subir Baja,Development,63100
10128,Babette Lamba,Customer Service,67619
10129,Armond Peir,Development,56667
10130,Nishit Casperson,Production,73881
10132,Ayakannu Skrikant,Finance,69587
10133,Giri Isaak,Production,83921
10134,Diederik Siprelle,Production,69194
